EUTL_ID;EUTL_Name;PRTR_Site_Name;PRTR_PlantID;Distance_m;avg_name_score;manual
GB_1028;Princes Limited Wisbech;Wisbech;11110;66.31881202;0.377648378;1
GB_217;WEETABIX LTD;Burton Latimar;9103;66.59308837;0.348084886;0
GB_834;Ibstock Brick Ltd Throckley Factory;Throckley Brickworks;8469;67.24390022;0.437296942;1
GB_900;Combustion Process Nestlé UK Tutbury;Burton-On-Trent;6622;67.32122949;0.446913488;0
GB_459;Archer Daniels Midland Erith Ltd;Erith;8769;67.72587857;0.353442029;0
GB_204036;Arconic Manufacturing (GB) Limited;Kitts Green;6997;68.23912789;0.288651264;0
GB_660;HM Naval Base Clyde;Faslane;9076;68.57126524;0.392539773;0
GB_207545;Peak Gen Llandarcy;Llandarcy;14449;68.57126869;0.328243616;1
GB_308;Matthews Power Station;Heald Green;13445;68.67898147;0.304253717;0
GB_175;Ford Bridgend Engine Plant;Bridgend;8205;69.61786705;0.429632505;1
GB_575;The Lycra Company UK Limited;Maydown;11035;69.80324761;0.321960548;0
GB_998;Dairy Crest Ltd;Davidstow Creamery;9265;70.20761784;0.443773919;1
GB_226;Dairy Crest Ltd - Crudgington;Crudgington;9266;71.14399418;0.364989177;1
GB_889;Energy Centre - Lanxess Solutions Ltd;Trafford Park;43111;71.44326686;0.303950123;0
GB_806;Energy Centre - Wombourne;Wombourne;7800;71.8070941;0.301371636;1
GB_262;Jaguar Land Rover Limited Solihull;Solihull;8399;72.43273081;0.305807719;1
GB_641;The Caledonian Cheese Company Limited;Stranraer;9058;72.58761261;0.345240971;0
GB_180;Briar Chemicals Limited;Norwich;8217;73.74077591;0.419315045;0
GB_809;NP. Lancaster Tissue;Lancaster;13435;74.46104843;0.497468762;1
GB_104;Thames Power Services Ltd;Barking;8080;74.48548072;0.31455314;0
GB_342;Vauxhall Motors, Ellesmere Port;Ellesmere Port;8581;76.48925402;0.426656315;1
GB_397;Highfield Campus Boilers;Southampton;8663;76.72453059;0.390112303;0
GB_805;Knauf Insulation Queensferry;Queensferry;7047;78.77968703;0.318485319;1
GB_949;MCBC (UK) Ltd, Burton Brewery;Shobnall Maltings;9288;78.90235972;0.289178429;0
GB_1066;Curtis Fine Papers Ltd, Guardbridge;St Andrews;7295;79.33099037;0.40532695;0
GB_344;Package Boiler Plant;Eaglescliffe;8585;79.87526598;0.400664251;0
GB_832;Ibstock Brick Ltd South Holmwood Factory;South Holmwood Brickworks;8466;80.17943097;0.428071659;1
GB_881;Weidmann Whiteley Ltd;Pool Paper Mills;8488;81.23299689;0.345400479;0
GB_841;marstons beer company plc-park brewery;Park Brewery;9632;83.81476757;0.421192334;1
GB_643;GSK Irvine;Irvine;2611;84.26052938;0.546299172;1
GB_500;British American Tobacco;Millbrook;8834;86.24558804;0.340280653;0
GB_428;Magnox Ltd, Wylfa;Wylfa;8720;86.65735686;0.326854727;1
GB_979;Knauf Immingham;Immingham Power Station;40493;86.72069118;0.472225098;1
GB_201736;Monckton Road Power Station;Wakefield;13459;87.00449118;0.342310568;0
GB_828;Ibstock Brick Limited - Parkhouse;Parkhouse Brickworks;8462;88.81990771;0.424476429;1
GB_1074;Bowling Park Drive Chemicals;Bradford;836;89.89415307;0.398680124;0
GB_208883;Kemira Chemicals (UK) Ltd;Bradford;836;89.89415307;0.342132505;0
GB_271;Gower Street Heat & Power;London;8413;90.30782327;0.315346791;0
GB_619;Heriot Watt University;Riccarton;9035;90.3163758;0.408420384;0
GB_208302;Peak Gen Havant;Havant;14684;90.46930251;0.357410283;1
