Year;PollutantID;Pollutant_Name;PlantID;Site;Easting;Northing;Operator;SectorID;Sector; Emission ;Unit;Country
2004;2;Carbon Dioxide as Carbon;6978;Kinneil;295900;680500;BP Exploration Co Ltd;3;Oil & gas exploration and production;125012.2909;Tonnes;Scotland
1998;2;Carbon Dioxide as Carbon;6979;Cowdenbeath;318632;689985;Shell UK Exploration & Production;19;Processing & distribution of natural gas;55311.67936;Tonnes;Scotland
1999;2;Carbon Dioxide as Carbon;6979;Cowdenbeath;318632;689985;Shell UK Exploration & Production;19;Processing & distribution of natural gas;55027.62545;Tonnes;Scotland
2000;2;Carbon Dioxide as Carbon;6979;Cowdenbeath;318632;689985;Shell UK Exploration & Production;19;Processing & distribution of natural gas;57103.19455;Tonnes;Scotland
2001;2;Carbon Dioxide as Carbon;6979;Cowdenbeath;318632;689985;Shell UK Exploration & Production;19;Processing & distribution of natural gas;55457.44909;Tonnes;Scotland
2002;2;Carbon Dioxide as Carbon;6979;Cowdenbeath;318632;689985;Shell UK Exploration & Production;19;Processing & distribution of natural gas;53361.89727;Tonnes;Scotland
2003;2;Carbon Dioxide as Carbon;6979;Cowdenbeath;318632;689985;Shell UK Exploration & Production;19;Processing & distribution of natural gas;48444.61909;Tonnes;Scotland
2004;2;Carbon Dioxide as Carbon;6979;Cowdenbeath;318632;689985;Shell UK Exploration & Production;19;Processing & distribution of natural gas;45983.55818;Tonnes;Scotland
1998;2;Carbon Dioxide as Carbon;6980;St Fergus;409600;854400;Shell UK Exploration & Production;3;Oil & gas exploration and production;99290.93645;Tonnes;Scotland
1999;2;Carbon Dioxide as Carbon;6980;St Fergus;409600;854400;Shell UK Exploration & Production;3;Oil & gas exploration and production;93081.54556;Tonnes;Scotland
2000;2;Carbon Dioxide as Carbon;6980;St Fergus;409600;854400;Shell UK Exploration & Production;3;Oil & gas exploration and production;96993.69;Tonnes;Scotland
2001;2;Carbon Dioxide as Carbon;6980;St Fergus;409600;854400;Shell UK Exploration & Production;3;Oil & gas exploration and production;96018.10636;Tonnes;Scotland
2002;2;Carbon Dioxide as Carbon;6980;St Fergus;409600;854400;Shell UK Exploration & Production;3;Oil & gas exploration and production;98516.76;Tonnes;Scotland
2003;2;Carbon Dioxide as Carbon;6980;St Fergus;409600;854400;Shell UK Exploration & Production;3;Oil & gas exploration and production;93452.85;Tonnes;Scotland
