jaar;nic;bedrijfsnaam;plaats;stof;emissie totaal;eenheid
2015;10064;Almatis BV;Botlek Rotterdam;Kooldioxide (CO2);17245785;kg
2015;10066;Kemira Rotterdam BV locatie Europoort;Europoort Rotterdam;Kooldioxide (CO2);5947470;kg
2015;10069;Standic BV;Dordrecht;Kooldioxide (CO2);2412002;kg
2015;10073;Tronox Pigments (Holland) BV;Botlek Rotterdam;Kooldioxide (CO2);90354632;kg
2015;10076;HVC AfvalEnergieCentrale Dordrecht;Dordrecht;Kooldioxide (CO2);322100000;kg
2015;10078;Ruigenhil Vastgoed B.V. (Nedstaal/FNSteel/Heros);Alblasserdam;Kooldioxide (CO2);39360916;kg
2015;10079;Chemours Netherlands B.V.;Dordrecht;Kooldioxide (CO2);87055503;kg
2015;10086;NV Nutricia Zoetermeer;Zoetermeer;Kooldioxide (CO2);12272477;kg
2015;10089;Prysmian Netherlands B.V.;Delft;Kooldioxide (CO2);668000;kg
2015;10097;SD Guthrie International Zwijndrecht Refinery B.V.;Zwijndrecht;Kooldioxide (CO2);52083645;kg
2015;10100;Bakelite Botlek Rotterdam;Botlek Rotterdam;Kooldioxide (CO2);6660000;kg
2015;10546;Lactalis Leerdammer BV (Schoonrewoerd);Schoonrewoerd;Kooldioxide (CO2);10844404;kg
2015;10590;FrieslandCampina Rotterdam;Rotterdam;Kooldioxide (CO2);2693880;kg
2015;10621;Hunter Douglas Europe BV;Rotterdam;Kooldioxide (CO2);6637116;kg
2015;10687;Biotech Campus Delft;Delft;Kooldioxide (CO2);81207586;kg
2015;10689;Air Products Nederland BV (Botlek);Botlek Rotterdam;Kooldioxide (CO2);290493194;kg
2015;10698;Cargill Bioindustrial BV;Gouda;Kooldioxide (CO2);37987807;kg
2015;10722;O-I Manufacturing Netherlands BV Schiedam;Schiedam;Kooldioxide (CO2);64527128;kg
2015;10723;O-I Netherlands BV (Leerdam);Leerdam;Kooldioxide (CO2);113375385;kg
2015;10728;Cargill Refined Oils Europe;Botlek Rotterdam;Kooldioxide (CO2);25438000;kg
2015;10733;Upfield Sourcing Nederland BV;Rotterdam;Kooldioxide (CO2);4177619;kg
2015;10789;BMI Productie Nederland BV Woerden;Woerden;Kooldioxide (CO2);9716754;kg
2015;10793;Tata Steel Nederland Tubes BV locatie Zwijndrecht;Zwijndrecht;Kooldioxide (CO2);1565646;kg
2015;10829;Cosun Beet company (Puttershoek);Puttershoek;Kooldioxide (CO2);387000;kg
2015;10921;Damen Shiprepair Rotterdam BV;Schiedam;Kooldioxide (CO2);493902;kg
2015;10928;Aluminium & Chemie Rotterdam B.V.;Botlek Rotterdam;Kooldioxide (CO2);153867156;kg
2015;10950;N+P Rotterdam MRF B.V.;Rotterdam;Kooldioxide (CO2);335694;kg
2015;10951;Uniper Centrale Leiden;Leiden;Kooldioxide (CO2);110255000;kg
