identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0006104466;TRIMET;2006;Air;Oxydes de soufre (SOx/SO2);2200000;kg/an
0006104466;TRIMET;2006;Air;Perfluorocarbures (PFC);3180;kg/an
0006104466;TRIMET;2006;Air;Poussières totales;155000;kg/an
0006104466;TRIMET;2006;Air;Dioxyde de carbone (CO2) d'origine non biomasse;247000000;kg/an
0006104466;TRIMET;2006;Air;Chlore;3520;kg/an
0006104466;TRIMET;2006;Air;Fluor et ses composés (F);89700;kg/an
0006104466;TRIMET;2006;Eau (direct);Fluorures (en tant que F total);3080;kg/an
0006104466;TRIMET;2006;Eau (direct);Fluor et ses composés (F);3080;kg/an
0006104473;MSSA S.A.S.;2006;Air;Chlore et composés inorganiques (en tant que HCl);15700;kg/an
0006104473;MSSA S.A.S.;2006;Air;Poussières totales;160000;kg/an
0006104473;MSSA S.A.S.;2006;Air;Chlore;15700;kg/an
0006104473;MSSA S.A.S.;2006;Eau (direct);Chlore;453000;kg/an
0006104478;MT Technology;2006;Air;Composés organiques volatils non méthaniques (COVNM);213000;kg/an
0006104504;Framatome;2006;Air;Acide fluorhydrique (flurorure d'hydrogène);26;kg/an
0006104504;Framatome;2006;Air;Etain et composés (exprimés en tant que Sn);27;kg/an
0006104504;Framatome;2006;Eau (direct);Acide fluorhydrique (flurorure d'hydrogène);231;kg/an
0006104505;UGITECH;2006;Air;Chrome et composés (exprimés en tant que Cr);569;kg/an
0006104505;UGITECH;2006;Air;Manganèse et composés (exprimés en tant que Mn);2080;kg/an
0006104505;UGITECH;2006;Air;Mercure et composés (exprimés en tant que Hg);19.6;kg/an
0006104505;UGITECH;2006;Air;Nickel et composés (exprimés en tant que Ni);166;kg/an
0006104505;UGITECH;2006;Air;Oxydes d'azote (NOx/NO2);132000;kg/an
0006104505;UGITECH;2006;Air;Plomb et composés (exprimés en tant que Pb);1130;kg/an
0006104505;UGITECH;2006;Air;Zinc et composés (exprimés en tant que Zn);13800;kg/an
0006104505;UGITECH;2006;Air;Dioxyde de carbone (CO2) d'origine non biomasse;66800000;kg/an
0006104505;UGITECH;2006;Eau (direct);Fluorures (en tant que F total);4980;kg/an
0006104505;UGITECH;2006;Eau (direct);Nickel et composés (exprimés en tant que Ni);129;kg/an
0006104524;SAS AIRPORC / ELEVAGE TECHE;2006;Air;Ammoniac (NH3);23100;kg/an
0006104534;GRAPHOCOLOR;2006;Eau (direct);Nickel et composés (exprimés en tant que Ni);263;kg/an
0006104549;NTN SNR Argonay;2006;Air;Hydrochlorofluorocarbures (HCFC);4620;kg/an
0006104559;PERROTTON;2006;Air;Dichlorométhane (DCM, chlorure de méthylène);2040;kg/an
0006104559;PERROTTON;2006;Air;Trichloréthylène;6370;kg/an
0006104565;SYND MIXTE DU LAC D ANNECY;2006;Air;Oxydes d'azote (NOx/NO2);127000;kg/an
0006104565;SYND MIXTE DU LAC D ANNECY;2006;Air;Protoxyde d'azote (N2O);23100;kg/an
0006104565;SYND MIXTE DU LAC D ANNECY;2006;Air;Dioxyde de carbone (CO2) d'origine non biomasse;111000000;kg/an
